activation,conv_kernel_sizes,conv_layers,dropout,fc_layers,target_weights_0,target_weights_1,target_weights_2,target_weights_3,target_weights_4,loss,status,training_time
relu,"[5,]*4","[32,]*4",0.09852236337453134,"[1024, 2048]",0.7658701354166109,0.9611060815907176,1.0694151244015226,0.610329584931896,0.504348597219231,0.0030843495601313373,ok,1097.5129461288452
relu,"[5,]*4","[32,]*4",0.09433411342757325,"[1024, 512]",0.7080825447598909,0.9519720227637212,1.1999030353931794,0.6130465789731219,0.5022299622338701,0.0030404656823592112,ok,1081.4003942012787
relu,"[5,]*4","[32,]*4",0.26197828585457716,"[1024, 512]",0.6215129474337739,0.7337323661396138,1.191653681462262,0.9020194807371945,0.7175848931798618,0.006156641768528989,ok,1083.8259980678558
relu,"[5,]*4","[32,]*4",0.1215130889924838,"[1024, 512]",0.5060678997008965,0.5996409777091973,1.4203950729630566,0.6113590041220857,0.5123280876187617,0.0029768564219885578,ok,3944.8530571460724
relu,"[5,]*4","[256,]*4",0.05723889499535853,"[256,]*2",0.5049358560788593,0.5866757147792444,1.4257921497476786,0.6973697897655672,0.824515514693069,0.005154495828273688,ok,6604.794363498688
elu,"[5,]*4","[32,]*4",0.11635768509642135,"[1024,]*2",0.5861192974855495,0.6406227013870496,1.3966961296049483,0.9104393683338639,0.646242494562622,0.005868600391527163,ok,1062.7057430744171
relu,"[9,]*4","[32,]*4",0.270547818630337,"[1024, 512]",0.6490850622328215,0.7616215547922763,1.4800262312074315,0.5778948649353128,1.0105342889484605,0.005646818879005664,ok,1119.3613181114197
relu,"[11,]*4","[8,]*4",0.13680301562450342,"[512,]*2",0.8311013779476528,0.5112138638855073,1.3650880250159338,0.6745514280191829,0.5340140017342399,0.0038257288568488814,ok,1017.185697555542
relu,"[13, 11, 9, 7]","[256,]*4",0.059904410748929576,"[1024, 512]",0.5423880691815555,0.6190310977053428,1.012313453523849,0.848078537256392,0.8633343990042054,0.006385467946529388,ok,19288.092639684677
elu,"[5,]*4","[32,]*4",0.23386094224960902,"[1024, 512]",0.7927383475995239,0.7936791716628228,0.9059572444931174,1.0420412406550554,0.7644324114223116,0.007714395664687104,ok,1039.2945590019226
relu,"[9,]*4","[64,]*4",0.34662335589366317,"[256,]*2",0.9139162428114463,0.6954343894702895,1.2268397286946182,0.564289375571227,0.9229322194591326,0.005083780769970925,ok,1500.3477132320404
relu,"[11,]*4","[32,]*4",0.030661623169553454,"[512, 1024]",0.664729436064196,0.8731962269385629,1.0306746954138557,0.7544506956280962,1.1200728622767588,0.007821278418322988,ok,1036.0583844184875
relu,"[7,]*4","[16,]*4",0.42958531411238227,"[2048, 1024]",0.5639479210754215,0.5134486018616797,0.7498261757011176,0.6475094475550487,1.3322574424211642,0.009416067826689458,ok,1015.2465794086456
elu,"[5,]*4","[256,]*4",0.22890991739788497,"[2048,]*2",0.9931915716059442,1.1343444600542303,1.4858134012217683,0.7545406923932958,0.6449783180256082,0.004652436879719151,ok,7526.948744773865
relu,"[13, 11, 9, 7]","[8,]*4",0.16321561766325543,"[128,]*2",1.230379445005645,0.8038534473358454,0.966049976492791,0.8515767976010733,0.5540721087542452,0.00569589434912903,ok,1012.0911254882812
relu,"[11, 9, 7, 5]","[64,]*4",0.20230476549789367,"[1024,]*2",0.5039144424986526,0.5689542313008779,0.5704601374992194,0.9599892638546238,0.7816228365339274,0.006990991404973993,ok,1598.989163160324
elu,"[11,]*4","[128,]*4",0.12065109925602359,"[512,]*2",0.8259960474664412,0.916857575702968,1.2504737903708414,1.4950172249706388,0.5935902739603225,0.013323110893514812,ok,4899.091126918793
relu,"[9,]*4","[32,]*4",0.0802172414833624,"[1024, 512]",0.7326215639431002,0.8391674573733002,1.1357380630186549,1.1596537094644659,1.4755689128736578,0.01492096487816204,ok,1040.693588733673
relu,"[7,]*4","[256,]*4",0.16988535515557812,"[2048, 1024]",0.8828019423371803,1.0269192707083385,1.3523777476150785,0.7202588547518921,0.9827539223159163,0.006180249994584159,ok,11125.031769037247
elu,"[13, 11, 9, 7]","[64,]*4",0.31237136953498723,"[512, 1024]",0.6152688926484354,1.0922768039533488,1.3987958350202623,0.8198463609394947,0.6988164945281176,0.005824877478766675,ok,2020.1594994068146
relu,"[11, 9, 7, 5]","[128,]*4",0.3881200438438077,"[128,]*2",1.4427617093717702,0.6713618419608005,1.295647849780804,0.9875365350619875,1.3668377482121867,0.013205180843999865,ok,3708.1141831874847
elu,"[5,]*4","[16,]*4",0.12056942348259266,"[256,]*2",1.2197159099499215,0.7728552221571473,0.9069205610372135,1.3638341299969776,1.1659949978272974,0.015967562214891408,ok,998.9197390079498
relu,"[7,]*4","[32,]*4",0.19551498004083062,"[1024,]*2",0.5459127717361781,0.60224487704376,0.7952918239997415,0.5723292155889599,0.7514430807380602,0.003898807977070557,ok,1065.8341088294983
relu,"[11,]*4","[8,]*4",0.4939026110140672,"[1024, 512]",0.9698302405892829,0.9764123366211324,1.0404727286244355,0.6400262804905237,1.2579919247011213,0.009315206144260717,ok,1002.1630585193634
relu,"[11, 9, 7, 5]","[16,]*4",0.047673345377026964,"[2048,]*2",0.7882321459788472,0.737522137275545,1.2603967442866078,1.085213021561077,0.673135353594907,0.008321498251319224,ok,1110.930408000946
elu,"[5,]*4","[128,]*4",0.15651223831301408,"[2048, 1024]",0.8687549591366193,0.843318514544982,0.6372937486275435,0.547231608276693,1.060021819247252,0.005917061062634685,ok,2715.1075382232666
relu,"[7,]*4","[16,]*4",0.017282595787386435,"[1024, 2048]",0.6810959059297267,0.5545884034038638,1.3156270009671907,0.5015920407858105,0.5610195069879376,0.0027049931791136225,ok,1024.1380491256714
relu,"[13, 11, 9, 7]","[64,]*4",0.21964165302879282,"[512, 1024]",0.6758433302951772,0.5453722208183213,1.3294026418465976,0.7805055549907864,0.8923758697526171,0.006332445200350063,ok,2010.1906509399414
relu,"[9,]*4","[16,]*4",0.07030503097431445,"[512,]*2",0.636675549283686,1.36599652497258,1.4533180747441006,0.724749154082577,0.8105978585855751,0.0054178910293415485,ok,1021.3371770381927
relu,"[7,]*4","[32,]*4",0.1859822216923337,"[1024, 2048]",0.5845822581797335,0.5053099595419555,1.3044541051674703,0.8743548091836342,0.5323180262291022,0.0050173717934419125,ok,1074.287680864334
elu,"[7,]*4","[8,]*4",0.13934042897679377,"[128,]*2",0.5031708147227488,1.2073967407624095,1.4984189031890378,1.1918784837086647,0.6148333879656167,0.011300131993587403,ok,991.5812969207764
relu,"[5,]*4","[16,]*4",0.2865537882609444,"[1024, 2048]",1.0944926986845738,0.6260949676772142,1.3787216950232528,0.501891606645716,0.725915260612987,0.003939199859422504,ok,1020.2581832408905
relu,"[11, 9, 7, 5]","[256,]*4",0.026712681594015825,"[1024, 512]",1.0358545836837592,1.4979439608959666,1.2272903896156868,1.4218538193376427,0.9557329774037732,0.013748569970987006,ok,14752.101911067963
relu,"[7,]*4","[128,]*4",0.10476430226323181,"[2048,]*2",0.7048432412416843,0.6848091624079028,0.5014170042700568,0.6067320188607683,0.5633645046432904,0.003068235714796602,ok,3516.2288138866425
relu,"[5,]*4","[32,]*4",0.08098706851368667,"[1024, 2048]",1.184569103411957,0.5677274159694563,1.443147274812259,0.6609577354161535,0.8697457470791334,0.005694668621336128,ok,1225.0116279125214
elu,"[11,]*4","[16,]*4",8.397303313032942e-05,"[256,]*2",0.9319410358616124,0.9091438456145545,1.1119911474282083,1.299934497102231,0.5003900515373524,0.010731211580409138,ok,1029.509174823761
relu,"[13, 11, 9, 7]","[64,]*4",0.46201307198621655,"[1024,]*2",1.4293841048003901,0.5379932709073716,1.1644200792916775,1.0468198389950627,0.6831346399569392,0.007538643343757619,ok,7833.58017706871
relu,"[9,]*4","[32,]*4",0.037147160315537275,"[1024, 512]",1.354755514494641,1.3158814078208676,1.4167079124705013,0.7932169122300261,0.6225109477256159,0.005019407952204347,ok,1011.0254938602448
relu,"[7,]*4","[16,]*4",0.24700070373483263,"[1024, 2048]",0.5418662291625306,0.7413652214242102,1.0598597654493984,0.9463653970879714,1.4221761176023424,0.013021335389245959,ok,974.9855337142944
elu,"[5,]*4","[8,]*4",0.18379231725512388,"[512,]*2",0.7647560337174161,0.6656600723461484,0.9950859766319937,0.5975210533249096,0.7988012472432797,0.005783310551515908,ok,948.2237815856934
