time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z
-8.0,0.0003911638956824703,0.0007973423515419708,0.0007783662184538728,0.0,0.0,0.0
-7.9,0.0003913411373349362,0.0007969968042800557,0.0007796536991377153,-1.91e-06,-1.34e-06,-7.06e-08
-7.8,0.00038986297629603256,0.0007966228737348612,0.0007925213807441808,-2.42e-05,-1.9e-05,-1.03e-06
-7.7,0.0003897748430264613,0.0007965498344517951,0.0008326599345439875,-8.73e-05,-7.65e-05,-4.3e-06
-7.6,0.00039404051535027235,0.0007973201766524906,0.0009125183102304576,-0.000201,-0.000196,-1.16e-05
-7.5,0.00039752844829363026,0.0008004192892146233,0.0010436345733394789,-0.000362,-0.000398,-2.46e-05
-7.4,0.0004057430015978724,0.0008085513231639607,0.001229150403284561,-0.00056,-0.000696,-4.53e-05
-7.3,0.0004191752951970528,0.0008232781967512392,0.00147274938751588,-0.00077,-0.001098213,-7.48e-05
-7.2,0.0004394824124932228,0.0008511021596493717,0.001768506599091478,-0.000959,-0.00160525,-0.000114
-7.1,0.00047104175084652694,0.0008927744970355389,0.0021085139938709406,-0.001085008,-0.002209906,-0.000163
-7.0,0.000513088706744017,0.0009544347697641197,0.0024788887507979683,-0.001097803,-0.002896757,-0.000219
-6.9,0.0005663596061441211,0.0010388159913812555,0.002861390070434543,-0.000942,-0.003642432,-0.000282
-6.8,0.0006354662285633338,0.001151221196547233,0.003233622122725298,-0.000556,-0.004416651,-0.000346
-6.7,0.0007181847816229691,0.0012968655038710108,0.003571384352370065,0.000122,-0.00518413,-0.000406
-6.6,0.0008094635086922352,0.0014815702608819447,0.0038467645512400327,0.00116151,-0.005906797,-0.000453
-6.5,0.0009149128603570233,0.0017178430639288888,0.004032148444515525,0.002629988,-0.006545308,-0.000472
-6.4,0.0010238254163868732,0.0020132577841092424,0.004100273562840738,0.004595766,-0.007059036,-0.000449
-6.3,0.0011361158562737928,0.0023743423335316504,0.004024151907228078,0.00712071,-0.007404653,-0.00037
-6.2,0.001251674359996261,0.0028030998513875215,0.0037774487327363647,0.010254826,-0.007534515,-0.000224
-6.1,0.0013655468856131592,0.003292428647704767,0.0033343056994207575,0.014031353,-0.007396317,-5.64e-06
-6.0,0.0014825633724245535,0.003826818381177851,0.002670554313087746,0.018463986,-0.006934688,0.000282
-5.9,0.001604950402470965,0.004383276570935542,0.0017655500557257938,0.023546053,-0.006094007,0.000629
-5.8,0.0017329284663719336,0.004932528782975594,0.0005999580413741698,0.029250375,-0.004821102,0.001020206
-5.7,0.0018667636085370732,0.005441842099237511,-0.0008392285394241653,0.03552879,-0.003067166,0.001433705
