time,x,y,z,roll,pitch,yaw
-26.666666666666668,0.19558194784123514,0.3891831092270871,-0.39867117577108135,9.510565162951536,5.521868290270175,0.0
-26.333333333333336,0.19573580209034885,0.389960192726413,-0.39839839477595607,9.68583065628631,4.903320409524147,6.700000000000001e-07
-26.0,0.19585441767343972,0.3979501695203781,-0.3970443281700041,9.822860407286802,4.275288422049649,9.5e-06
-25.666666666666668,0.1985927470346693,0.42242466317610206,-0.3937039042685163,9.921103363143343,3.6389863119311285,3.8250000000000035e-05
-25.333333333333332,0.20647291077028967,0.4702916383139134,-0.38813577555396594,9.980166784272795,2.9956439077161185,9.800000000000051e-05
-25.0,0.21788586774083926,0.5470897864947589,-0.3812554401894096,9.999818999957279,2.3465046756034647,0.00019900000000000462
-24.666666666666668,0.23615094088012095,0.6536709415181364,-0.37495429364353666,9.979987284145146,1.6928231231022344,0.00034800000000002727
-24.333333333333332,0.2618668376814325,0.79013165670494,-0.3713222822114835,9.920762012786346,1.035862985716096,0.0005491065000001171
-24.0,0.2958312226262409,0.9512057272687003,-0.37533835823655415,9.822393006488404,0.37689443165007386,0.0008026250000003973
-23.666666666666668,0.3398486530058224,1.130007614311257,-0.38957676671813574,9.685289105714576,-0.2828080957311117,0.001104953000001118
-23.333333333333336,0.3929250163500085,1.3160898676827237,-0.41973673794926086,9.510016258683487,-0.9419672929396593,0.001448378500002645
-23.000000000000004,0.4542053589586367,1.496465508937117,-0.4700846414369405,9.297293854400658,-1.5993083141288154,0.0018212160000055154
-22.666666666666668,0.5248298948277196,1.6556362382327274,-0.5464973711268858,9.047992517992332,-2.25355683681122,0.002208325500010066
-22.333333333333336,0.6021894713388096,1.777187256253754,-0.6548188430470776,8.763127791254902,-2.9034450207626947,0.0025920650000162693
-22.0,0.6823943958940724,1.8423101395854682,-0.8016001534287827,8.443859998344859,-3.5477114553555684,0.0029533985000230766
-21.666666666666668,0.7672382475400104,1.832489159650397,-0.9966289078668917,8.091484924269485,-4.185102590588047,0.003272654000027762
-21.333333333333336,0.8502182683773589,1.729324210185901,-1.2472727305836702,7.70743029692831,-4.81437864710771,0.0035295180000270935
-21.0,0.9300004289741446,1.5150048416918698,-1.5600391397794229,7.293246617259823,-5.434315500567793,0.0037023265000193004
-20.666666666666668,1.0048015499872671,1.1728764549223674,-1.9385539124678883,6.85059846492277,-6.043708535704678,0.0037672575000071984
-20.333333333333332,1.0697764618733132,0.687694589696975,-2.3810141489373216,6.381255573804876,-6.641376285583516,0.0036981585000000036
-20.0,1.1242196509869475,0.0464255415546517,-2.8803907559962205,5.887084524457566,-7.226164111525985,0.003467344000010499
-19.666666666666668,1.1656304177116157,-0.7607792231048008,-3.4248482185721407,5.370040993015154,-7.796945639311071,0.003047003500045903
-19.333333333333332,1.1902648728670178,-1.7416807289323257,-3.998336762094823,4.8321619499782305,-8.35262414432327,0.002410551000095533
-19.0,1.1941559115305511,-2.899410492149811,-4.581978332279136,4.275557329838053,-8.892135449916134,0.00153358300012003
-18.666666666666668,1.1785294883786734,-4.233922380780352,-5.153139152996645,3.702401472194182,-9.414449711360513,0.0003950000000509995
-18.333333333333336,1.1389611535665347,-5.741657908960195,-5.687297977533757,3.114925197526837,-9.918572585354934,-0.0010222810001902533
-18.000000000000004,1.0723763288346824,-7.413564468160326,-6.161074323098871,2.515409318959973,-10.40354530419348,-0.00272658050065333
-17.666666666666668,0.9770764337842651,-9.237096026435408,-6.556002649064309,1.9061793364809498,-10.868443824810287,-0.004716029501315161
-17.333333333333336,0.8523033247611763,-11.194471002792026,-6.861414916827793,1.289600130612759,-11.312378101551879,-0.006974941502060269
-17.0,0.6949620243290984,-13.263706203214374,-7.075915367118049,0.6680692658351886,-11.734492492167536,-0.00947317050270676
-16.666666666666668,0.5069503078452396,-15.417513673272596,-7.207700946210153,0.04400833612049681,-12.13396756365324,-0.01216721750307122
-16.333333333333336,0.2828848316063491,-17.624757026474036,-7.271402618351357,-0.5801470603994081,-12.510022732237106,-0.015002457003041777
-16.0,0.028276940110884143,-19.85128636270117,-7.287847685263142,-1.2019576438629562,-12.861918918952725,-0.017915513002625574
-15.666666666666668,-0.25652096130566754,-22.05969501303784,-7.281506249829489,-1.8189905003802442,-13.188960900910162,-0.02083645750194943
-15.333333333333332,-0.5695964200317012,-24.210332918804145,-7.279196970730878,-2.4288292360908654,-13.490499699045078,-0.023691311501209993
-15.0,-0.906822398343104,-26.263222041094103,-7.3065797548412865,-3.029084884219853,-13.765935385300486,-0.026405354500593028
-14.666666666666668,-1.2636418284888398,-28.177533711637448,-7.386030626282742,-3.6174076113101696,-14.014721136876288,-0.028907038000199753
-14.333333333333334,-1.630472856489726,-29.91345690042513,-7.5326864731555325,-4.191498380988471,-14.23636517486578,-0.03113150850002812
-14.000000000000002,-2.003344113537202,-31.433751456614978,-7.754010429519738,-4.7491193858833265,-14.430433523788219,-0.03302294750000171
-13.666666666666666,-2.3710621150146918,-32.7033123041911,-8.04742904023393,-5.28810307918562,-14.59655166471845,-0.0345356910000288
-13.333333333333334,-2.7286580942788032,-33.69169726484378,-8.400739100185469,-5.806360539717507,-14.734404760911753,-0.03563512800005002
