"time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z"
"-1.3,-64.167362,-0.106656771,-1.991116667,-0.111995159,0.118696308,0.010446537"
"-1.2,-64.16669108,-0.10568531,-1.984834007,-0.176356071,0.159938751,-0.010712568"
"-1.1,-64.16590359,-0.103182723,-1.977811415,-0.241401804,0.200359717,-0.032618909"
"-1,-64.16502902,-0.09911162,-1.970115679,-0.30640298,0.239269531,-0.054922078"
"-0.9,-64.1640804,-0.093426264,-1.961826243,-0.370570179,0.275950288,-0.077221925"
"-0.8,-64.16309368,-0.086090236,-1.953029014,-0.433071746,0.309691076,-0.099087722"
"-0.7,-64.1620772,-0.077132784,-1.943815072,-0.493113405,0.339869119,-0.120120563"
"-0.6,-64.161022,-0.066702877,-1.93428602,-0.550036148,0.366026449,-0.140021052"
"-0.5,-64.1598873,-0.055073877,-1.924562067,-0.603365891,0.387885589,-0.1586124"
"-0.4,-64.15862876,-0.042583778,-1.914785799,-0.652774946,0.405286083,-0.175797303"
"-0.3,-64.15721784,-0.029542138,-1.905117268,-0.697978152,0.418081482,-0.191473708"
"-0.2,-64.15566199,-0.016159618,-1.895721553,-0.738631651,0.426063652,-0.205464497"
"-0.1,-64.1540046,-0.002540057,-1.886755402,-0.774300286,0.42896168,-0.217505893"
"0,-64.15230449,0.011269094,-1.878359562,-0.804508132,0.426509002,-0.227296956"
"0.1,-64.15060822,0.025210892,-1.870660136,-0.828822858,0.418522403,-0.234568947"
"0.2,-64.14895821,0.039182956,-1.863781409,-0.846863256,0.404914932,-0.239112116"
"0.3,-64.14737726,0.053052085,-1.857849143,-0.858313854,0.385687896,-0.240771719"
"0.4,-64.14589774,0.066701117,-1.852985099,-0.862905129,0.360893695,-0.239414752"
"0.5,-64.14458312,0.080063445,-1.84929969,-0.860363391,0.330597804,-0.234895195"
"0.6,-64.143475,0.093115974,-1.846884304,-0.85040631,0.294890269,-0.227058326"
"0.7,-64.14263324,0.105834681,-1.845807818,-0.832794133,0.253940964,-0.215784552"
"0.8,-64.14209231,0.118143076,-1.846118644,-0.807404452,0.208061343,-0.201045217"
"0.9,-64.14184708,0.129884962,-1.847849986,-0.77428732,0.157735055,-0.182937052"
"1,-64.14187525,0.140831553,-1.851024301,-0.733676189,0.103605565,-0.16168205"
"1.1,-64.14213588,0.150709564,-1.855654908,-0.685964489,0.046438143,-0.137603272"
"1.2,-64.14258323,0.159229089,-1.861745074,-0.63167345,-0.012918637,-0.111097409"
"1.3,-64.14317332,0.166101803,-1.8692868,-0.571428407,-0.07356019,-0.082615634"
"1.4,-64.14384779,0.171055439,-1.878260257,-0.505939859,-0.134549924,-0.052647628"
"1.5,-64.14456321,0.173855548,-1.888633304,-0.435974497,-0.194952715,-0.021697878"
"1.6,-64.14528954,0.174334012,-1.900359308,-0.362311733,-0.253877144,0.009747214"
