time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z
-1,-0.026802193,-0.027935028,-0.116068993,-0.155584426,-0.118515735,0.030705953
-0.9,-0.027336251,-0.032058239,-0.117398415,-0.165039555,-0.118663198,0.033442614
-0.8,-0.027649056,-0.035978794,-0.117513809,-0.173870509,-0.117379709,0.035929713
-0.7,-0.027748238,-0.039597034,-0.116401348,-0.182055517,-0.114689428,0.038132399
-0.6,-0.027645241,-0.042818069,-0.114064846,-0.189570153,-0.110639593,0.040023801
-0.5,-0.027340066,-0.045554161,-0.110512409,-0.196395246,-0.105287279,0.041577249
-0.4,-0.026825081,-0.04772377,-0.105739746,-0.202542683,-0.098673949,0.042746656
-0.3,-0.026065957,-0.049249649,-0.099718246,-0.208082433,-0.090805331,0.043448861
-0.2,-0.025009286,-0.05005312,-0.092404518,-0.213149313,-0.081654265,0.043563487
-0.1,-0.023594033,-0.050056458,-0.083766136,-0.217918546,-0.071190108,0.042955777
0,-0.021774422,-0.049184322,-0.07381216,-0.222558833,-0.059420905,0.041513153
0.1,-0.019546639,-0.047375679,-0.06261507,-0.227184258,-0.046425199,0.039176694
0.2,-0.016933571,-0.044583797,-0.050301704,-0.231816274,-0.032355193,0.03594974
0.3,-0.013988625,-0.040783405,-0.037036095,-0.236398397,-0.017418448,0.031886074
0.4,-0.010769021,-0.035972595,-0.022995625,-0.240838153,-0.001843271,0.027063416
0.5,-0.007320534,-0.03016758,-0.008347187,-0.245043975,0.014153054,0.021556762
0.6,-0.003688943,-0.023397923,0.006754723,-0.248944787,0.030375826,0.015426783
0.7,1.03E-04,-0.015706062,0.022160378,-0.25248592,0.046642922,0.008726407
0.8,0.004009117,-0.007146835,0.037704315,-0.255608064,0.062764416,0.001517956
0.9,0.00799166,0.00220871,0.053200092,-0.258226241,0.078527592,-0.006112035
1,0.011981834,0.012270927,0.068443623,-0.260222603,0.093698243,-0.014050399
1.1,0.015914787,0.022932053,0.083227482,-0.261459054,0.108038705,-0.022169332
1.2,0.019740928,0.034068108,0.097362366,-0.261802645,0.121333201,-0.030346274
1.3,0.023414482,0.045544624,0.110687103,-0.261150282,0.133407175,-0.038480916
1.4,0.026916374,0.05722332,0.123067226,-0.259439613,0.144130759,-0.046500271
1.5,0.030231346,0.068961143,0.134385433,-0.256641023,0.153405088,-0.054349399
1.6,0.033355583,0.080616951,0.14452013,-0.252734528,0.161139104,-0.061972681
1.7,0.036250938,0.092041969,0.153333988,-0.247684004,0.167228591,-0.069295177
1.8,0.038879264,0.103086472,0.160672035,-0.241420347,0.171547325,-0.076212618
1.9,0.041183341,0.113591194,0.166367855,-0.233840064,0.173952872,-0.082593409
2,0.043086875,0.123394966,0.170260277,-0.224816664,0.174302172,-0.0882897
2.1,0.044532646,0.132332802,0.172203865,-0.214217517,0.172468733,-0.09315108
2.2,0.045459617,0.14024353,0.172082272,-0.201918495,0.168355318,-0.09703567
2.3,0.045822013,0.146971703,0.169811096,-0.187814221,0.161902177,-0.099817659
2.4,0.045585502,0.152370453,0.165344086,-0.171827242,0.153093754,-0.101393978
2.5,0.044738639,0.15630722,0.158679333,-0.153919127,0.141966683,-0.101692252
2.6,0.043292869,0.15866375,0.149860706,-0.134101853,0.128615664,-0.100678162
2.7,0.041271079,0.159347534,0.138974991,-0.112441896,0.113190175,-0.098356105
