activation,apply_batchnorm,conv_kernel_sizes,conv_layers,dropout,fc_layers,lr,lr_patience,target_weights_0,target_weights_1,target_weights_2,target_weights_3,target_weights_4,loss,status,training_time
relu,True,"[13, 11, 9, 7]","[8,]*4",0.01003271447625631,"[1024, 2048]",0.00031569349132156614,10,1.4299375005260448,0.824707794629571,1.4696980874574543,1.2413664414875187,0.965771319182045,0.008344529833840696,ok,462.04808807373047
elu,False,"[11,]*4","[32,]*4",0.3758652200325792,"[256,]*2",0.003251694725399398,5,0.5479760700382387,1.1346513227649917,0.8917857397114459,1.149147901115894,1.1507012160724743,0.009769347349279806,ok,517.1862196922302
elu,True,"[5,]*4","[32,]*4",0.2383901601784364,"[1024, 2048]",5.724088826427857e-05,20,1.3519959294553527,0.553534656218424,1.251962924737331,1.3972628553852506,1.3018627126058253,0.012088340388512924,ok,514.4410388469696
elu,False,"[5,]*4","[8,]*4",0.4189366102478786,"[2048, 1024]",0.0010506819925533034,5,1.0099038897382098,1.4145380940294991,1.4972838283724572,1.0715757119199831,0.6000720933687541,0.008329703006893396,ok,385.5325393676758
elu,True,"[9,]*4","[8,]*4",0.3822174496959854,"[1024, 2048]",0.00300488404142018,20,1.2438457363281756,0.8893540110002841,1.3873146392827187,0.536499882346883,1.1562590927273075,0.006677839745718397,ok,397.9132328033447
relu,True,"[11,]*4","[8,]*4",0.3242725243818868,"[1024,]*2",7.226319658092214e-05,20,0.57756209235627,1.3367182822716328,1.2164760624629785,0.7597269667092909,1.4671219227809105,0.007633165137744264,ok,393.51626920700073
elu,False,"[9,]*4","[16,]*4",0.08334200782322909,"[128,]*2",0.0042631420901677155,20,0.8843255401778278,0.7897338567105063,1.1397859954359042,1.4292491678542052,1.2008903123332746,0.010915429748006557,ok,379.68085765838623
elu,True,"[7,]*4","[32,]*4",0.1366806178072728,"[256,]*2",0.00042946752386950425,20,0.5297515839057613,0.7922594875213518,0.5615182681825885,0.9531530906635549,0.6998747821566352,0.0035476158740685173,ok,514.1868677139282
relu,True,"[5,]*4","[64,]*4",0.26697648161832377,"[1024, 2048]",0.001439986628743698,20,0.8329692297593712,0.5619973713563648,0.5474475278460162,1.0096660615339301,1.235531458954671,0.0076577263933263326,ok,883.3524024486542
relu,True,"[11,]*4","[32,]*4",0.35506485996697834,"[2048,]*2",0.00018410832944853973,5,1.4697606143445578,1.3410060317801942,1.3445165628013473,0.9058439005857665,1.3705045819564696,0.007887489284927907,ok,627.5213723182678
relu,True,"[11, 9, 7, 5]","[16,]*4",0.04731995830388358,"[1024,]*2",0.0025463652032034793,5,1.4644520504250704,0.9538382658567753,1.3383703060473282,1.3317572564869682,0.7108465508349393,0.007531427949863045,ok,395.13228249549866
elu,True,"[7,]*4","[32,]*4",0.007340174747372752,"[1024, 512]",7.646762730284431e-05,5,0.8154544765351031,0.7342955925356937,1.2423324311879351,1.0995665106347783,1.3759228918615198,0.010329379749141242,ok,530.1532673835754
relu,False,"[11, 9, 7, 5]","[32,]*4",0.36206418872471113,"[2048,]*2",0.004497900185334198,20,0.9006007182260162,1.4514602049296976,0.8059983875033252,1.3480485003531535,1.20426297840221,0.16998218313643806,ok,541.684467792511
elu,True,"[11, 9, 7, 5]","[8,]*4",0.10466369430095984,"[512, 1024]",0.0005909165554388258,20,0.8097489778474534,1.4266461465625675,1.285435475133964,0.7466046568776838,1.0426377651700904,0.005081557815796451,ok,383.44643473625183
elu,True,"[11,]*4","[64,]*4",0.050514684841517,"[128,]*2",0.0001463241790768619,5,0.7245941257949836,0.7860314220018022,1.07193535932863,1.2702915270800106,1.2892462567619307,0.010252776555716991,ok,1310.0551073551178
relu,True,"[5,]*4","[32,]*4",0.2977561386128444,"[512, 1024]",0.00011618624815591563,5,0.8829266862833932,1.4991126397940735,1.0389073625519076,1.1385403207087283,1.0956568200869616,0.0067489175125956535,ok,480.0160102844238
relu,True,"[13, 11, 9, 7]","[64,]*4",0.29892736470155884,"[256,]*2",0.002230502331816609,5,0.81924695082947,1.2495207096030865,1.3866076097089186,0.9979570082402535,0.5865418123374647,0.0036646003075140087,ok,1293.9700264930725
elu,True,"[7,]*4","[32,]*4",0.30933670566247823,"[512,]*2",0.0037580296834612394,20,0.7569292462875087,0.8462338387901501,1.293903486832781,0.8668030007348141,0.8894234759329408,0.004130277243491851,ok,521.943174123764
relu,True,"[7,]*4","[8,]*4",0.09233301443772873,"[512, 1024]",0.0016683414179536247,5,1.2444852552111478,0.9924419544212107,1.281524637391329,1.325527390202418,0.9686943910045855,0.007896671586326863,ok,380.0958003997803
relu,True,"[11, 9, 7, 5]","[16,]*4",0.07841419293666962,"[2048, 1024]",0.0012600058199585746,20,1.368209041877722,0.5222727785359109,0.6544072084338448,1.4995579490387663,0.5462380007988943,0.0074701828784064245,ok,406.7129125595093
elu,False,"[5,]*4","[32,]*4",0.03577954934920452,"[512, 1024]",5.315428576792015e-05,5,1.3839049597148638,0.536507042999734,0.6262220642815558,1.028119037653318,0.6788233544028439,0.00899276808884583,ok,425.96078634262085
relu,True,"[9,]*4","[16,]*4",0.2789914986577492,"[2048,]*2",6.380666129439617e-05,10,1.1499749137296598,1.0266409231041098,0.719223099396772,1.3384514982930562,1.0024660230347426,0.007836059078966317,ok,445.55724573135376
elu,False,"[5,]*4","[16,]*4",0.020321220337651824,"[128,]*2",0.0014166075285976577,5,0.640471873682261,1.4467960776783646,1.2816873132245004,1.1805991305707146,1.071167412940461,0.006885010504016751,ok,372.682240486145
elu,False,"[11,]*4","[8,]*4",0.4222981511078569,"[1024, 2048]",0.00216708507681573,5,1.3468970853689761,1.1374951590924003,0.6908494791606454,1.169585556826345,0.8047379268644687,0.009283878105251412,ok,397.5811388492584
elu,True,"[11,]*4","[16,]*4",0.4170469551837365,"[256,]*2",0.0029175009874017432,10,0.6402460913516802,1.4189297945117723,0.5267025190075951,0.6823513012510587,0.8887665350847158,0.003977681988065964,ok,408.9266519546509
relu,True,"[13, 11, 9, 7]","[64,]*4",0.1957251950190815,"[256,]*2",0.0006216806346150076,10,0.502324257213425,0.6611378922239004,0.9330981164936945,0.9100801746083952,0.5123242756338147,0.002679720386176517,ok,1293.8773324489594
relu,True,"[13, 11, 9, 7]","[64,]*4",0.1826968742238529,"[256,]*2",0.0007102764855107508,10,0.5039309746514338,0.6338336161547381,0.8993498388955204,0.9139291194494158,0.7074361884361862,0.0031993215241910597,ok,1292.6633760929108
relu,True,"[13, 11, 9, 7]","[64,]*4",0.20405191191404093,"[256,]*2",0.0007910644479905744,10,1.0268622881323402,0.6477644438982314,0.922817416983326,0.5624549798630503,0.516238129100453,0.0018034649363375809,ok,1295.2287194728851
relu,True,"[13, 11, 9, 7]","[64,]*4",0.21707363021795387,"[256,]*2",0.0002869690523630419,10,1.0211763959633138,0.6659243316852903,0.9760663620829007,0.5062573154797516,0.5030653079932628,0.0017645421535953095,ok,1295.9318029880524
relu,True,"[13, 11, 9, 7]","[64,]*4",0.478118877688348,"[1024, 512]",0.0003368252628997903,10,1.0158946249940117,0.6712857846173363,0.7695636137543116,0.5230460005142421,0.8029764758325291,0.0027336794147758106,ok,1309.2046992778778
relu,True,"[13, 11, 9, 7]","[64,]*4",0.22665723058191875,"[512,]*2",0.00023601200364431195,10,1.1116567811746059,0.6121021024368212,0.9734031327250678,0.6040692545237358,0.6088892173172721,0.002242175635489586,ok,1299.7143664360046
relu,True,"[13, 11, 9, 7]","[64,]*4",0.15157516560319745,"[256,]*2",0.0008746044093648923,10,1.1361582625252167,0.7190367915522666,0.857160809590511,0.6100388250967343,0.793412233808969,0.002964783104528722,ok,1294.764003753662
